,feat_0_<,feat_1_<,feat_2_<,feat_3_<,feat_0_>=,feat_1_>=,feat_2_>=,feat_3_>=,precision,recall,accuracy
0,,,4.9,,,,3.3,,0.9545454545454546,1.0,0.9545454545454546
0,,,4.8,,,,3.0,,0.9545454545454546,1.0,0.9545454545454546
0,,,4.8,,,,3.3,,0.9545454545454546,1.0,0.9545454545454546
0,,,,1.7,,,3.0,,0.9545454545454546,1.0,0.9545454545454546
0,,,4.9,,,,3.5,,0.9130434782608695,1.0,0.9130434782608695
0,,,,1.7,,,,,0.9,1.0,0.9
0,,,4.9,,,,3.0,,0.9545454545454546,1.0,0.9545454545454546
0,,,5.0,,,,3.0,,0.9523809523809523,1.0,0.9523809523809523
0,,,4.9,,,,3.3,,0.9545454545454546,1.0,0.9545454545454546
0,,,,1.8,,,3.3,,1.0,1.0,1.0
0,,,5.0,,,,3.0,,0.9523809523809523,1.0,0.9523809523809523
0,,,5.0,,,,3.0,,0.9523809523809523,1.0,0.9523809523809523
0,,,5.1,,,,3.0,,1.0,1.0,1.0
0,,,5.1,,,,3.0,,1.0,1.0,1.0
0,,,4.8,,,,3.0,,0.9545454545454546,1.0,0.9545454545454546
0,,,4.8,,,,3.0,,0.9545454545454546,1.0,0.9545454545454546
0,,,,1.7,,,3.0,,0.9545454545454546,1.0,0.9545454545454546
0,,,,1.8,,,3.0,,1.0,1.0,1.0
0,,,,1.7,,,3.9,,0.9130434782608695,1.0,0.9130434782608695
0,,,,1.7,,,3.3,,0.9545454545454546,1.0,0.9545454545454546
0,,,5.1,,,,3.0,,1.0,1.0,1.0
0,,,,1.6,,,3.5,,0.875,1.0,0.875
0,,,,1.8,,,3.0,,1.0,1.0,1.0
0,,,,1.6,,,3.3,,0.9130434782608695,1.0,0.9130434782608695
0,,,,1.8,,,3.0,,1.0,1.0,1.0
0,,,,1.6,,,3.0,,0.9130434782608695,1.0,0.9130434782608695
0,,,,,,,3.3,,1.0,1.0,1.0
0,,,4.9,,,,3.0,,0.9545454545454546,1.0,0.9545454545454546
0,,,5.1,,,,3.5,,0.95,1.0,0.95
0,,,4.9,,,,3.3,,0.9545454545454546,1.0,0.9545454545454546
0,,,,1.8,,,3.3,,1.0,1.0,1.0
0,,,5.0,,,,3.0,,0.9523809523809523,1.0,0.9523809523809523
0,,,4.8,,,,3.3,,0.9545454545454546,1.0,0.9545454545454546
0,,,,1.8,,,3.3,,1.0,1.0,1.0
0,,,4.9,,,,3.0,,0.9545454545454546,1.0,0.9545454545454546
0,,,,1.8,,,3.0,,1.0,1.0,1.0
0,,,5.0,,,,3.0,,0.9523809523809523,1.0,0.9523809523809523
0,,,,1.7,,,3.0,,0.9545454545454546,1.0,0.9545454545454546
0,,,4.8,,,,3.5,,0.9130434782608695,1.0,0.9130434782608695
0,,,,1.6,,,3.3,,0.9130434782608695,1.0,0.9130434782608695
0,,,,1.8,,,3.3,,1.0,1.0,1.0
0,,,4.8,,,,3.5,,0.9130434782608695,1.0,0.9130434782608695
0,,,,1.7,,,3.0,,0.9545454545454546,1.0,0.9545454545454546
0,,,,1.8,,,3.0,,1.0,1.0,1.0
0,,,5.0,,,,3.5,,0.9090909090909091,1.0,0.9090909090909091
0,,,4.8,,,,3.0,,0.9545454545454546,1.0,0.9545454545454546
0,,,,1.7,,,3.0,,0.9545454545454546,1.0,0.9545454545454546
0,,,4.9,,,,3.0,,0.9545454545454546,1.0,0.9545454545454546
0,,,,1.8,,,3.0,,1.0,1.0,1.0
0,,,,1.7,,,3.0,,0.9545454545454546,1.0,0.9545454545454546
